"","pid","gFx_mean_0","gFx_mean_1","gFx_mean_2","gFx_mean_3","gFx_mean_4","gFx_mean_5","gFy_mean_0","gFy_mean_1","gFy_mean_2","gFy_mean_3","gFy_mean_4","gFy_mean_5","gFz_mean_0","gFz_mean_1","gFz_mean_2","gFz_mean_3","gFz_mean_4","gFz_mean_5","ax_mean_0","ax_mean_1","ax_mean_2","ax_mean_3","ax_mean_4","ax_mean_5","ay_mean_0","ay_mean_1","ay_mean_2","ay_mean_3","ay_mean_4","ay_mean_5","az_mean_0","az_mean_1","az_mean_2","az_mean_3","az_mean_4","az_mean_5","wx_mean_0","wx_mean_1","wx_mean_2","wx_mean_3","wx_mean_4","wx_mean_5","wy_mean_0","wy_mean_1","wy_mean_2","wy_mean_3","wy_mean_4","wy_mean_5","wz_mean_0","wz_mean_1","wz_mean_2","wz_mean_3","wz_mean_4","wz_mean_5"
"1",1,0.190163636363636,-0.5847,2.21566461538462,0.506386206896552,0.780654545454545,0.0741133333333333,1.05706818181818,-0.481995238095238,0.840069230769231,0.282934482758621,0.134422727272727,0.80788,1.29454090909091,-0.288885714285714,1.37428615384615,0.626455172413793,0.94335,1.61216666666667,1.0095,-0.126480952380952,7.33372153846154,5.18692413793103,3.69643636363636,-1.51716,1.16003181818182,-9.69892380952381,-5.52579692307692,-3.03634827586207,-8.52305909090909,4.35181333333333,2.64662272727273,0.215504761904762,19.5708292307692,8.01811724137931,6.01782272727273,11.7481733333333,1.35996818181818,0.596880952380952,-2.15690307692308,2.70419310344828,-4.09621818181818,-2.37490666666667,-0.614836363636364,0.315419047619048,1.62204769230769,-1.38804827586207,-1.94070454545455,-1.53379333333333,-0.853759090909091,-0.308990476190476,4.86484769230769,-0.93471724137931,0.556113636363636,-1.0714
"2",2,0.467903703703704,-0.09575,1.2364880952381,1.12196774193548,0.53713125,0.358946666666667,1.01617777777778,0.393,0.753314285714286,0.844325806451613,0.14345,1.18990666666667,1.16609259259259,0.5097,1.54485476190476,1.64084516129032,0.9547625,1.75460666666667,1.77109259259259,3.30145,2.71896904761905,9.60707419354839,1.79885,1.83496,2.40036666666667,-1.9129,-3.30692619047619,5.71749032258064,-10.94335625,6.43055333333333,3.35895185185185,9.48115,15.9529857142857,16.4519483870968,5.46118125,12.6224133333333,1.52231481481481,3.59185,-3.04780238095238,2.66772903225806,-4.59830625,-3.30878,0.729262962962963,-1.56055,1.08088333333333,-0.107535483870968,-1.98525625,-1.32294,-0.522974074074074,-1.74525,3.61360238095238,2.3071,0.97641875,0.38186
"3",3,0.574164,-0.709116666666667,0.338276923076923,0.924138709677419,0.484416666666667,0.744594117647059,0.980608,-0.133133333333333,0.256088461538462,0.80958064516129,-0.255194444444444,0.962058823529412,1.038488,-0.300983333333333,1.55188846153846,0.887638709677419,0.307672222222222,2.03584117647059,1.90618,-0.125783333333333,0.313176923076923,6.91104516129032,0.773272222222222,3.61184705882353,1.962484,-6.1255,-7.49394230769231,4.23854193548387,-10.1617222222222,2.16030588235294,2.512524,0.30315,10.4530884615385,8.08647419354839,5.13914444444444,15.1183588235294,1.241908,-0.00598333333333331,-4.20129615384615,2.83742580645161,-2.21965555555556,-5.00877058823529,0.234296,0.510216666666667,2.53824615384615,-0.812135483870968,-1.7863,-1.13610588235294,-0.52614,-1.34191666666667,1.74171538461538,0.883216129032258,0.499,-0.0937235294117647
"4",4,0.602511538461538,-0.591047826086956,0.844537037037037,0.65155,0.5964,0.6115,0.967469230769231,-0.369204347826087,0.482644444444444,0.62165,0.174325925925926,1.13228,1.04092307692308,-0.248982608695652,2.07169259259259,1.08573636363636,1.21614074074074,1.22606,1.96272692307692,-0.248547826086957,5.16640740740741,4.62083636363636,2.1661,-0.04072,1.96954230769231,-8.33701304347826,-4.8419,2.20481818181818,-8.20386296296296,12.36074,2.99188461538462,3.38884782608696,12.8662592592593,6.25818636363636,9.51905185185185,12.59636,1.51205384615385,0.84274347826087,-3.34086296296296,3.78275454545455,-4.14852592592593,-0.28562,0.431461538461538,-0.349304347826087,1.13752962962963,-0.887745454545455,-1.75568518518519,0.23746,-0.398130769230769,-1.42507826086957,2.66028518518518,0.476831818181818,1.17804814814815,0.1627
"5",6,0.558810714285714,0.961818181818182,0.77905,0.7737,0,0,0.514621428571429,1.01590454545455,-0.247871428571429,1.3959,0,0,1.28557857142857,1.21152045454545,0.878582142857143,1.69875,0,0,3.49491071428571,10.2115227272727,2.43318928571429,4.32463333333333,0,0,-4.359375,6.70307727272727,-12.2840928571429,10.2367,0,0,9.28446071428571,7.24447272727273,7.45425357142857,19.3376166666667,0,0,-3.01314642857143,2.75323636363636,-3.75388571428571,-2.24501666666667,0,0,1.832525,-0.527604545454545,-1.50193571428571,-0.352983333333333,0,0,2.14889285714286,0.391059090909091,1.39203928571429,0.298033333333333,0,0
"6",7,0.5168,-0.53763,0.918288888888889,1.23937857142857,0.8351,0.4689,0.962874074074074,-0.283905,0.253677777777778,0.759428571428571,-0.120938709677419,1.1022,0.912103703703704,-0.204715,1.52195555555556,0.813792857142857,1.02916129032258,1.4889,1.48376666666667,0.991135,4.66574074074074,9.96501428571429,3.89053225806452,0.340983333333333,1.88023333333333,-8.424385,-6.44882592592593,3.69415714285714,-9.16430322580645,10.2688333333333,2.52372592592593,3.68735,12.3848481481481,4.34696428571428,9.61861612903226,12.5166333333333,1.2691962962963,1.049375,-2.61718518518519,2.66895,-3.56468709677419,-2.1375,0.668614814814815,-0.158235,1.82437037037037,-1.47407857142857,-1.40537419354839,-0.2738,-0.999259259259259,-1.10804,3.31566296296296,-0.36445,1.03379032258065,-0.4884
"7",8,0.751936666666667,-0.355833333333333,0.9028375,1.38714117647059,1.32781428571429,1.09143333333333,0.92825,0.114416666666667,0.202445833333333,0.993729411764706,-0.15649387755102,1.0478,0.988533333333333,-0.0405583333333333,1.62936666666667,1.04540588235294,1.62796530612245,1.86395555555556,1.06187,0.952916666666667,3.04117083333333,12.8097529411765,-0.314344897959184,6.11572222222222,0.555786666666667,-6.302925,-8.542675,6.27963529411765,-13.9876591836735,10.6413444444444,1.34092,2.36028333333333,10.8687958333333,5.1429,2.40829387755102,16.2149444444444,0.89681,0.3453,-3.26979166666667,2.97602352941176,-4.71588571428571,-1.85164444444444,0.2688,-0.988825,2.44130833333333,-0.852735294117647,-0.764897959183674,0.241888888888889,-0.55276,-1.95915,3.10419166666667,0.00211176470588231,2.38907959183673,0.0623666666666666
"8",9,0.706911111111111,0.1259,0.658915384615385,1.50600434782609,0.954478571428572,0.248722916666667,0.730111111111111,0.7927,-0.265965384615385,0.997934782608696,-0.37075,1.27724583333333,0.903137037037037,0.336,1.34450384615385,1.28606086956522,0.598292857142857,2.27616041666667,1.78598518518519,4.3928,2.05351538461538,12.5448173913043,1.00459285714286,11.3579520833333,1.06024074074074,-0.6006,-12.3778115384615,5.11258695652174,-14.5845357142857,2.48776875,1.81838518518519,6.3189,8.18510384615385,8.48327826086956,3.40364285714286,17.7694625,1.54348148148148,1.8964,-3.06311923076923,2.81673913043478,-4.2517,-6.24082083333333,0.338885185185185,-2.2214,1.78848461538462,-0.836108695652174,-1.36854285714286,-2.22371875,-0.371281481481481,-1.1335,3.01953461538462,0.1671,1.98671428571429,-0.478285416666667
"9",10,0.741774074074074,-0.3071,0.480057692307692,1.59216842105263,0.81078275862069,0.84892,0.893188888888889,0.040925,-0.270284615384615,0.871968421052632,-0.287437931034483,1.35328,0.837851851851852,-0.156725,1.30908461538462,1.11072105263158,1.0062724137931,2.26428,1.86417407407407,1.598625,2.19572692307692,14.9264315789474,3.35512413793103,5.4593,1.5236037037037,-5.489225,-11.1112115384615,4.01973157894737,-12.5942,11.9535,1.99064814814815,3.077725,8.89466538461538,9.16414210526316,7.38123448275862,19.83698,1.2439,1.285675,-3.43473461538462,2.81499473684211,-3.6191,-2.3266,0.331122222222222,-0.3877,1.81255,-0.6018,-1.64311034482759,-0.5766,-0.399337037037037,-1.596725,2.87461923076923,0.520373684210526,1.21482068965517,-0.5945
"10",11,0.828371428571429,0.4438,0.4783,1.38568333333333,0.962973076923077,0.955375,0.803582142857143,0.807833333333333,-0.195521428571429,0.798016666666667,0.254557692307692,0.9338,0.935953571428571,0.693466666666667,1.31300357142857,1.02111111111111,1.46581538461538,1.1595,2.71166428571429,6.84253333333333,1.56196071428571,14.4316166666667,3.80073076923077,6.372,1.984325,-0.466966666666667,-10.9335607142857,4.04836666666667,-8.18494230769231,13.5197,2.41068571428571,7.01306666666667,8.41249285714286,9.83854444444444,9.97661538461539,10.0137,1.07737857142857,3.2655,-2.88558928571429,3.33906111111111,-3.78751153846154,-0.592775,0.137360714285714,-0.7498,1.65150714285714,-1.17795555555556,-0.709876923076923,0.19695,-0.794289285714286,-2.9028,2.44836428571429,-0.396361111111111,2.08816538461538,-0.7242
