"","pid","gFx_mean_0","gFx_mean_1","gFx_mean_2","gFx_mean_3","gFy_mean_0","gFy_mean_1","gFy_mean_2","gFy_mean_3","gFz_mean_0","gFz_mean_1","gFz_mean_2","gFz_mean_3","ax_mean_0","ax_mean_1","ax_mean_2","ax_mean_3","ay_mean_0","ay_mean_1","ay_mean_2","ay_mean_3","az_mean_0","az_mean_1","az_mean_2","az_mean_3","wx_mean_0","wx_mean_1","wx_mean_2","wx_mean_3","wy_mean_0","wy_mean_1","wy_mean_2","wy_mean_3","wz_mean_0","wz_mean_1","wz_mean_2","wz_mean_3"
"1",2,1.052415625,1.26302,0.65186875,1.29229230769231,0.81659375,0.39374,0.79246875,0.545638461538462,1.1357875,0.75618,1.28743125,0.831307692307692,1.33535,8.19504,1.621284375,6.49756153846154,1.74126875,0.01936,-1.8927125,4.72869230769231,3.330290625,9.72062,8.4188875,6.96714615384615,2.55366875,4.5394,-2.26519375,0.651123076923077,-0.359484375,-1.9281,-0.415146875,2.70311538461538,1.224321875,-1.1238,3.724984375,2.74503846153846
"2",3,1.0097725,0.202766666666667,0.6904225,1.26637,0.845365,-0.0184666666666667,0.7440725,0.22266,1.04324,0.211466666666667,1.2107725,0.77549,1.4439475,5.60253333333333,2.69511,7.23064,4.1710825,-4.79483333333333,-1.4533175,4.84408,3.8820125,6.764,8.44912,4.93666,2.98231,1.2475,-1.5955975,2.04074,-0.1779275,-3.1388,-0.225105,2.4514,0.9939425,1.31563333333333,3.91169,3.15026
"3",4,0.890635897435897,1.06577142857143,0.497346153846154,1.17828181818182,0.853515384615385,0.289857142857143,0.887961538461538,0.466659090909091,1.08018461538462,0.407014285714286,1.20911153846154,1.04401818181818,0.873338461538462,8.27572857142857,0.908861538461538,4.09041363636364,2.82222307692308,-2.44395714285714,-4.19237307692308,3.46033636363636,3.69828717948718,10.0131428571429,5.55208076923077,6.61688636363636,2.4425641025641,3.6734,-1.62693076923077,0.948595454545455,0.0041051282051282,-1.92058571428571,-1.03639230769231,2.28932727272727,0.870415384615385,-1.68622857142857,4.13280769230769,3.35190454545455
"4",5,0.980371428571429,0.43445,0.598625531914894,1.36571,0.832754761904762,-0.0969,0.806091489361702,-0.03939,1.14716904761905,0.082375,1.21438085106383,0.58473,1.87754285714286,7.26615,2.14818723404255,7.30273,2.97746428571429,-6.0012,-2.87484680851064,0.84025,4.80871904761905,8.3275,6.66536808510638,5.64515,2.52775238095238,2.6274,-1.00866170212766,3.2212,-0.0135738095238095,-3.52615,-0.396836170212766,2.2407,0.627476190476191,-0.2692,4.78378936170213,3.8902
"5",6,1.04057727272727,0.830466666666667,0.553763636363636,1.15355384615385,0.928754545454545,0.155422222222222,0.644033333333333,0.0727153846153846,1.16796590909091,0.705188888888889,1.34534848484848,1.09620769230769,2.57576590909091,11.1739777777778,0.892712121212121,7.03467692307692,3.04669545454545,-3.88941111111111,-1.32303939393939,1.57006153846154,5.21783636363636,13.0114,7.41605454545455,5.5842,2.69544545454545,3.34167777777778,-1.79818181818182,2.18327692307692,-0.0126386363636363,-2.3852,-1.08828181818182,2.2273,0.277102272727273,-2.23068888888889,4.85309090909091,3.62569230769231
"6",7,0.891094871794872,0.712,0.663938888888889,1.50806470588235,0.675746153846154,0.1174,0.393838888888889,-0.125388235294118,0.979020512820513,0.2216,1.47411388888889,0.903135294117647,0.740653846153846,7.1521,2.35335,9.28872941176471,2.6588,-6.6612,-4.47516388888889,1.46313529411765,3.36303333333333,10.1115333333333,8.38608055555556,7.77832352941177,2.01504358974359,2.7932,-1.51043611111111,2.75957647058824,-0.382528205128205,-2.8668,-1.79728611111111,2.71557058823529,0.493394871794872,-2.2859,4.70176944444444,4.57601764705882
"7",8,1.11150697674419,0,1.0599512195122,1.1938,0.84466976744186,0,0.554258536585366,0.09116,1.22284186046512,0,1.57709756097561,0.79499,2.6273,0,4.81708292682927,12.5988,3.66706279069767,0,-1.02867317073171,5.177,5.1279488372093,0,10.5447024390244,5.6176,2.48766744186047,0,-1.72389756097561,3.6447,-0.409451162790698,0,-0.140143902439024,2.6333,0.499220930232558,0,4.86249024390244,3.5897
"8",9,0.902340425531915,1.0447,0.777309756097561,1.2381,0.874042553191489,0.0549,0.634575609756098,0.43954,1.18284042553191,0.4933,1.31831219512195,1.06211,1.58782340425532,9.261075,2.55068780487805,8.82071,2.80436382978723,-4.80945,-2.12013414634146,3.93469,4.6438,11.342825,8.98200487804878,4.82758,2.1436085106383,3.935475,-1.89480243902439,0.89251,-0.107295744680851,-2.277225,-0.520534146341463,2.36074,0.783114893617021,-1.83745,4.19705365853659,2.70236
"9",10,1.01360638297872,-0.0116,1.03868,0,0.852465957446809,0.167928571428571,0.740345,0,1.31754468085106,0.9509,1.556605,0,0.787334042553192,1.34072857142857,4.179385,0,2.65986170212766,-11.2367857142857,1.12725,0,5.72071276595745,5.74685714285714,10.9094375,0,2.80733829787234,-2.5304,-1.7117125,0,-0.260772340425532,-2.91372857142857,0.6013825,0,1.09941914893617,4.00951428571429,4.0431375,0
"10",11,1.06349545454545,-0.369909090909091,0.834155813953488,0,0.6992,-0.135918181818182,0.767455813953488,0,1.32180227272727,0.401290909090909,1.52033720930233,0,2.13675909090909,2.12320909090909,2.16675813953488,0,3.00751136363636,-8.07156363636364,0.251667441860465,0,5.86836590909091,5.08831818181818,10.2680488372093,0,2.63009318181818,-1.05888181818182,-2.24711627906977,0,-0.649490909090909,-3.31952727272727,0.500893023255814,0,1.12564772727273,3.04951818181818,3.68097209302326,0
"11",14,0.59825652173913,0.34175,0.112779545454545,0.762566666666667,0.816823913043478,0.045225,0.845268181818182,0.485766666666667,1.35442608695652,0.23085,1.33140454545455,1.14948888888889,0.31770652173913,4.75805,-0.848170454545454,3.53051111111111,2.41924565217391,-6.39305,-1.32266590909091,4.20278888888889,4.80622391304348,7.887,7.84270227272727,5.2259,2.08298695652174,1.87825,-2.60959545454545,0.203733333333333,0.150502173913043,-2.27445,-0.725702272727273,2.47403333333333,1.09355217391304,0.9886,2.85087954545455,2.33906666666667
